   X             Y          F275W        F336W      F438W       F814W

   3656.3007   2617.1535     99.9999     99.9999     99.9999     19.9112
   3752.6887   2618.6272     99.9999     99.9999     99.9999     17.7437
   3952.2124   2632.8412     99.9999     99.9999     99.9999     16.6212
   3689.4113   2633.8921     99.9999     99.9999     99.9999     19.3402
   3765.4168   2636.5687     99.9999     99.9999     99.9999     18.9654
   3934.4768   2641.9740     99.9999     99.9999     99.9999     18.5328
   3998.6167   2643.4538     99.9999     99.9999     99.9999     17.0650
   3859.8262   2649.4135     99.9999     99.9999     99.9999     17.8179
   3898.1838   2651.8411     99.9999     99.9999     99.9999     14.9210
   4144.9405   2655.3939     99.9999     99.9999     99.9999     16.8466
   4277.9802   2658.9473     99.9999     99.9999     99.9999     19.5682
   4132.0924   2661.9519     99.9999     99.9999     99.9999     17.6515
   4037.1304   2663.9657     99.9999     99.9999     99.9999     19.2982
   4096.4301   2663.5296     99.9999     99.9999     99.9999     16.6117
   4148.3170   2663.7335     99.9999     99.9999     99.9999     17.9522
   3941.0653   2666.2832     99.9999     99.9999     99.9999     17.6675
   3768.8137   2670.7745     99.9999     99.9999     99.9999     19.7604
   4085.9029   2674.3989     99.9999     99.9999     99.9999     18.8713
   4004.6247   2675.8819     99.9999     99.9999     99.9999     17.3808
   3786.5959   2677.2631     99.9999     99.9999     99.9999     17.3193
   3711.8008   2680.4219     99.9999     99.9999     99.9999     19.6090
   4199.0486   2687.2503     99.9999     99.9999     99.9999     19.9279
   4422.6674   2686.6280     99.9999     99.9999     99.9999     19.5121
   4577.7926   2686.8905     99.9999     99.9999     99.9999     18.2556
   3906.3271   2688.4359     99.9999     99.9999     99.9999     19.1227
   4492.4916   2687.7661     99.9999     99.9999     99.9999     16.8131
   3784.3762   2689.2986     99.9999     99.9999     99.9999     18.3734
   3800.9909   2689.4757     99.9999     99.9999     99.9999     18.2411
   4143.0553   2689.2927     99.9999     99.9999     99.9999     18.6426
   4396.6237   2689.0660     99.9999     99.9999     99.9999     18.9050
   4087.5764   2692.5124     99.9999     99.9999     99.9999     19.0765
   4484.2957   2692.6696     99.9999     99.9999     99.9999     18.4439
   3923.8605   2694.0112     99.9999     99.9999     99.9999     18.5042
   4556.7359   2701.5910     99.9999     99.9999     99.9999     14.3497
   4703.3899   2701.7012     99.9999     99.9999     99.9999     18.8026
   4144.5261   2703.1525     99.9999     99.9999     99.9999     17.8721
   3884.1591   2703.8106     99.9999     99.9999     99.9999     15.8249
   4162.4248   2703.9921     99.9999     99.9999     99.9999     18.3483
   4169.2962   2704.4668     99.9999     99.9999     99.9999     17.5375
   4725.3096   2704.2650     99.9999     99.9999     99.9999     19.0063
   4594.1187   2705.8760     99.9999     99.9999     99.9999     18.2438
   4207.7636   2708.4273     99.9999     99.9999     99.9999     18.8513
   3825.3049   2712.9268     99.9999     99.9999     99.9999     17.5226
   4064.7873   2713.6817     99.9999     99.9999     99.9999     18.5262
   4487.6473   2713.9927     99.9999     99.9999     99.9999     19.7974
   4531.9351   2714.2992     99.9999     99.9999     99.9999     19.0325
   4422.2863   2714.9719     99.9999     99.9999     99.9999     19.0950
   3853.0673   2715.8546     99.9999     99.9999     99.9999     19.8432
   4085.1134   2724.1103     99.9999     99.9999     99.9999     18.0745
   4688.9947   2726.2505     99.9999     99.9999     99.9999     17.8504
   4548.6178   2726.8209     99.9999     99.9999     99.9999     17.3428
   5014.9339   2728.0915     99.9999     99.9999     20.8330     18.4599
   4653.6985   2730.6230     99.9999     99.9999     99.9999     19.1647
   4782.7524   2731.4324     99.9999     99.9999     99.9999     18.6899
   4095.6068   2732.4618     99.9999     99.9999     99.9999     18.4461
   4104.5240   2732.2894     99.9999     99.9999     99.9999     19.2388
   4364.3539   2736.3667     99.9999     99.9999     99.9999     16.5500
   4065.8723   2736.9722     99.9999     99.9999     99.9999     15.7866
   5004.3502   2738.0061     99.9999     21.2910     21.2302     18.8189
   4691.2531   2738.7546     99.9999     99.9999     99.9999     19.1775
   4840.0632   2738.7483     99.9999     99.9999     18.4868     16.6370
   3822.6250   2739.7625     99.9999     99.9999     99.9999     17.4292
   4568.2758   2739.6100     99.9999     99.9999     99.9999     18.6904
   4267.2609   2740.5537     99.9999     99.9999     99.9999     18.8086
   3803.3819   2743.9338     99.9999     99.9999     99.9999     17.0018
   3976.3737   2744.3933     99.9999     99.9999     99.9999     17.8871
   4088.6379   2745.1445     99.9999     99.9999     99.9999     19.5008
   4871.0463   2744.5071     99.9999     99.9999     21.9568     19.3370
   3855.1599   2746.1479     99.9999     99.9999     99.9999     19.0615
   5118.3920   2746.8604     99.9999     20.2502     20.3204     18.2079
   4255.9856   2748.2207     99.9999     99.9999     99.9999     17.3706
   4773.9815   2747.5892     99.9999     99.9999     99.9999     18.0488
   4019.4205   2748.7843     99.9999     99.9999     99.9999     18.5960
   4594.9963   2750.4507     99.9999     99.9999     99.9999     16.9305
   4966.8768   2750.4706     99.9999     19.0809     19.2201     17.3392
   4180.2277   2752.2372     99.9999     99.9999     99.9999     17.2957
   4780.6935   2752.0894     99.9999     99.9999     99.9999     18.0164
   5282.8270   2752.9876     99.9999     20.4266     20.3975     18.2592
   5052.5395   2755.0499     99.9999     23.8558     22.7881     19.7797
   5146.2757   2754.9517     99.9999     20.5298     20.5982     18.3884
   4358.0274   2756.3339     99.9999     99.9999     99.9999     17.3344
   4835.9702   2756.4928     99.9999     99.9999     22.0040     19.2612
   5163.0051   2755.9790     99.9999     20.0971     20.1820     18.1107
   4401.8888   2757.1097     99.9999     99.9999     99.9999     19.3511
   5114.0158   2756.5413     99.9999     21.6119     21.4138     18.9516
   5259.5034   2757.2257     19.3548     18.2687     18.2353     16.2220
   5345.1675   2758.2673     23.5631     21.6180     99.9999     18.9621
   4856.3828   2759.1022     99.9999     99.9999     20.5966     18.3900
   4742.2746   2760.4671     99.9999     99.9999     99.9999     18.9431
   4959.0044   2760.4612     99.9999     21.3329     99.9999     18.8224
   4819.9836   2761.8541     99.9999     99.9999     22.1213     19.4220
   4781.0948   2763.2047     99.9999     99.9999     99.9999     19.6676
   4883.9488   2763.0428     99.9999     99.9999     19.0412     17.1871
   4685.1227   2764.0903     99.9999     99.9999     99.9999     17.7183
   4973.4445   2765.2503     99.9999     19.0611     19.1973     17.3073
   5192.3264   2764.6495     99.9999     23.9064     22.7766     19.8431
   5085.9364   2767.0663     99.9999     22.1298     21.6826     19.0730
   4091.8139   2768.3522     99.9999     99.9999     99.9999     18.1323
   4200.0162   2768.2594     99.9999     99.9999     99.9999     19.4292
   4745.5363   2769.1046     99.9999     99.9999     99.9999     18.2236
   5129.6877   2769.3137     99.9999     22.0367     21.7526     19.1688
   3985.0287   2769.7288     99.9999     99.9999     99.9999     16.3409
   4054.3855   2769.9406     99.9999     99.9999     99.9999     17.5638
   4429.5676   2770.0867     99.9999     99.9999     99.9999     15.5517
   4449.4285   2769.7809     99.9999     99.9999     99.9999     17.2080
   4681.6532   2770.7619     99.9999     99.9999     99.9999     18.1515
   4993.3913   2770.8695     99.9999     21.6907     21.3575     18.9233
   5366.6926   2771.2203     99.9999     22.2697     99.9999     19.2424
   5519.0321   2772.1386     99.9999     23.4202     22.6897     19.6978
   3858.2299   2772.9811     99.9999     99.9999     99.9999     18.9097
   3942.3014   2772.7018     99.9999     99.9999     99.9999     18.7729
   4659.9874   2773.0732     99.9999     99.9999     99.9999     16.7633
   4967.1358   2772.9617     99.9999     20.1785     20.2756     18.1674
   4130.6444   2773.5989     99.9999     99.9999     99.9999     19.4858
   4782.5026   2773.5754     99.9999     99.9999     22.3296     19.4640
   4532.7291   2775.2369     99.9999     99.9999     99.9999     16.7139
   4579.9918   2775.4125     99.9999     99.9999     99.9999     19.0184
   4603.3861   2774.9456     99.9999     99.9999     99.9999     16.9481
   4061.1449   2776.0685     99.9999     99.9999     99.9999     17.2719
   4734.6303   2775.5544     99.9999     99.9999     99.9999     18.6756
   4416.1671   2776.5842     99.9999     99.9999     99.9999     19.4429
   4685.3138   2778.1244     99.9999     99.9999     99.9999     16.9819
   4006.0143   2779.0340     99.9999     99.9999     99.9999     19.0358
   3875.6920   2779.7816     99.9999     99.9999     99.9999     19.8218
   4305.8402   2780.2124     99.9999     99.9999     99.9999     16.7654
   5390.8115   2782.1075     99.9999     23.7486     99.9999     19.8445
   3688.7559   2782.5172     99.9999     99.9999     99.9999     19.2596
   5248.5134   2783.4873     21.7467     20.4935     20.4923     18.2611
   4484.3646   2784.0577     99.9999     99.9999     99.9999     18.7246
   4162.2546   2784.8391     99.9999     99.9999     99.9999     18.4793
   4381.7099   2784.9469     99.9999     99.9999     99.9999     18.0485
   5009.4812   2784.8155     99.9999     23.9079     23.0621     19.9183
   4064.7624   2786.3787     99.9999     99.9999     99.9999     19.5874
   4258.6395   2786.1866     99.9999     99.9999     99.9999     18.4307
   5268.7455   2785.6776     20.2762     19.2744     19.3267     17.4050
   3669.7115   2787.0104     99.9999     99.9999     99.9999     17.6633
   4249.4792   2787.2219     99.9999     99.9999     99.9999     16.9570
   4559.2384   2786.5477     99.9999     99.9999     99.9999     19.4053
   4176.8335   2789.1155     99.9999     99.9999     99.9999     17.6610
   3779.0375   2790.2668     99.9999     99.9999     99.9999     18.5958
   4394.7331   2790.8777     99.9999     99.9999     99.9999     18.2007
   4334.0968   2791.9435     99.9999     99.9999     99.9999     17.2401
   4131.6308   2793.2589     99.9999     99.9999     99.9999     17.3563
   4470.2495   2792.5534     99.9999     99.9999     99.9999     18.6827
   4584.8117   2793.3972     99.9999     99.9999     99.9999     19.2918
   5692.3634   2792.9137     99.9999     21.1148     21.0166     18.6465
   4287.7778   2794.0876     99.9999     99.9999     99.9999     17.1920
   4515.2798   2794.1330     99.9999     99.9999     99.9999     19.2006
   4716.3637   2793.7925     99.9999     99.9999     99.9999     19.2543
   4190.4241   2794.9656     99.9999     99.9999     99.9999     18.0419
   5029.8098   2794.9016     99.9999     99.9999     20.6341     18.4356
   5520.7308   2794.9820     99.9999     21.3133     21.1797     18.7813
   5616.1891   2794.7976     99.9999     23.4929     22.7594     19.7633
