    X           Y            F606W      F814W

   2630.5200   3907.5400     27.2402     22.3182
   2652.8800   3909.4200     26.8100     23.6855
   2600.7700   3916.6500     21.4564     18.1027
   2983.6800   3918.8800     26.0843     23.2045
   3014.3300   3924.0900     20.9049     17.8498
   2674.5800   3932.7200     25.9668     22.7215
   3090.5900   3935.9500     25.3028     22.3474
   3588.6100   3938.0300     32.6866     22.1220
   2824.8800   3943.6900     20.9070     18.0691
   3523.4900   3944.1500     25.3592     22.4430
   3731.7300   3944.3300     24.8996     21.9271
   3072.9900   3946.9400     25.0771     22.5162
   3496.2400   3946.9100     24.3212     21.2832
   3433.8600   3949.2200     24.9260     21.9629
   3811.6900   3949.9800     26.2739     22.8548
   3237.7900   3952.5900     24.9197     22.0602
   4187.2100   3953.9100     26.5538     23.0262
   3605.2800   3955.2100     25.3338     22.3967
   4222.9300   3955.1800     25.3970     22.2865
   4244.4300   3957.8400     27.2583     23.4781
   3829.1400   3961.8400     25.3598     22.2505
   3871.5800   3962.8000     26.2810     23.3133
   3926.9500   3963.9700     25.8444     22.5569
   4283.4300   3968.0600     25.3260     22.3946
   3149.0600   3968.5900     27.3897     23.7449
   4510.7000   3968.9200     25.7076     22.7568
   4155.7200   3971.2400     26.2676     23.0367
   4540.8800   3971.4800     25.2524     22.2233
   4179.2000   3972.4500     21.0881     17.9006
   3335.1100   3974.3200     25.5726     22.7797
   3577.2100   3974.0600     26.7427     23.4838
   3883.2600   3976.4400     25.3924     22.3878
   2930.3600   3977.3900     24.7317     21.9512
   3646.0700   3976.7400     24.8828     22.0293
   4704.9000   3976.8500     26.4771     23.1564
   3922.8200   3979.2900     27.1400     23.8463
   4939.7700   3978.6100     24.7896     21.7043
   2943.2200   3981.7800     22.2191     19.9904
   5236.2100   3983.9500     25.3429     22.1805
   5139.9700   3984.7500     24.6975     21.6479
   4828.8100   3985.8600     24.2803     21.3129
   4921.8400   3985.5800     27.6294     23.5657
   3257.7800   3989.0300     26.4659     23.2961
   5122.0100   3989.4400     25.5202     22.0840
   5217.6200   3989.4500     25.0014     21.9373
   4868.3800   3989.5200     27.0846     23.4394
   5285.3300   3989.8800     24.7981     21.7335
   3749.3700   3990.5600     27.4719     23.5570
   5465.1500   3991.6600     26.7461     23.4785
   2866.4300   3992.7400     26.4166     23.3374
   4579.1000   3992.7500     24.7976     21.6784
   4719.5100   3993.7800     26.1425     22.8103
   5146.1700   3997.1000     25.9656     23.0413
   5035.8900   3998.3100     25.6987     22.8304
   5500.7500   3998.1100     26.4786     23.7165
   3871.9100   3999.2700     27.0042     23.5842
   5589.5300   3999.1000     24.2425     21.3692
   3253.2900   4000.5000     26.4088     23.3046
   4002.0000   4000.6800     25.0927     21.8494
   4982.6400   4000.6100     25.0512     22.1706
   3084.7000   4002.4900     23.6052     20.8855
   3567.6000   4002.3300     26.8107     23.6399
   3809.8600   4002.0500     23.7915     20.7406
   4380.7700   4002.2300     26.0720     22.9637
   5515.5600   4001.6300     26.9229     23.5603
   3638.6400   4003.2500     24.9210     22.0150
   2996.8000   4003.6400     24.2754     21.5093
   5529.8200   4003.4500     25.6063     22.3513
   4730.6700   4004.4500     25.6142     22.3099
   2770.8500   4005.9200     26.5654     23.4953
   3162.4900   4005.7800     25.2832     22.4775
   4956.1300   4005.6400     23.1343     19.7313
   5171.0200   4006.2200     25.4689     22.4321
   4629.0200   4007.3700     26.5485     23.9097
   4880.2700   4007.3900     25.4825     22.3709
   5551.0300   4007.0000     26.5385     23.6443
   2808.3500   4008.4000     23.8111     20.9087
   5000.3300   4009.6600     25.6849     22.7311
   5137.1400   4009.5900     26.1387     23.3036
   3810.7900   4011.1200     25.3088     22.2338
   5718.5500   4011.0600     25.7543     22.8917
   4296.8800   4011.9500     25.6286     22.4886
   5161.6900   4011.5200     25.7745     22.8107
   5923.9200   4012.4800     23.3218     20.0034
   4567.8300   4013.3700     21.7072     18.3032
   5894.3700   4012.7600     22.2817     19.2683
   4961.8000   4013.9500     25.7362     22.7491
   5962.1300   4013.9700     26.5998     23.3841
   6042.9600   4013.9900     25.2272     22.2042
   5256.9100   4015.3800     25.2928     22.2159
   2706.3700   4016.3700     24.1652     21.2353
   5467.6900   4016.6200     25.3366     22.3935
   6071.6600   4017.3000     25.3091     21.7574
   3388.5900   4018.1300     25.0928     21.9012
   4036.7500   4018.1700     27.2962     23.7201
   5742.6500   4019.1400     24.7339     21.8206
   4427.7000   4020.2300     27.0685     23.5124
   5459.6900   4022.2900     24.7677     21.8150
   3274.9100   4023.4100     26.9857     23.8070
   4891.5800   4023.0400     26.0829     23.1217
